ProductID;AvailableQuantity;NetPrice;EuropeanArticleNumber;NetRetailPrice;Description;GrossMass;ManufacturerPartNumber;CategoryText1;ManufacturerName
"1009318";0;37.01;"010343812031";;"EPSON S041068 Photo paper inkjet 104g/m2 A3 100 sheets 1-pack";1.520;"C13S041068";"Impressão, Digitalização e Consumíveis";"EPSON"
"1009319";0;43.86;"010343812048";;"EPSON S041069 Photo paper inkjet 102g/m2 A3+ 100 sheets 1-pack";1.900;"C13S041069";"Impressão, Digitalização e Consumíveis";"EPSON"
"1009341";0;21.15;"010343819795";;"EPSON Glossy photo paper inkjet 250g/m2 A3+ 20 sheets 1-pack";1.320;"C13S041316";"Impressão, Digitalização e Consumíveis";"EPSON"
"1009342";0;31.88;"010343819788";;"EPSON S041315 Glossy photo paper inkjet 255g/m2 A3 20 sheets 1-pack";1.030;"C13S041315";"Impressão, Digitalização e Consumíveis";"EPSON"
"1009494";0;14.86;"088698198070";;"HP original Iron-on transfers thermical 170g/m2 A4 12 sheets 1-pack";0.220;"C6050A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1009913";0;223.67;"731304003281";;"Bateria APC Replacement Battery Cartridge #6 - RBC6";8.208;"RBC6";"Servidor, Armazenamento e UPS";"APC"
"1009914";0;57;"731304003243";;"Bateria APC Replacement Battery Cartridge #2 - RBC2";2.770;"RBC2";"Servidor, Armazenamento e UPS";"APC"
"1009915";0;89.71;"731304003267";;"Bateria APC Replacement Battery Cartridge #4 - RBC4";4.000;"RBC4";"Servidor, Armazenamento e UPS";"APC"
"1009916";0;262.83;"731304003298";;"Bateria APC Replacement Battery Cartridge #7 - RBC7";12.088;"RBC7";"Servidor, Armazenamento e UPS";"APC"
"1009917";1;117.16;"731304003274";;"Bateria APC Replacement Battery Cartridge #5 - RBC5";5.460;"RBC5";"Servidor, Armazenamento e UPS";"APC"
"1009999";0;4384.27;"731304016892";;"UPS APC Symmetra RM 2kVA Scalable 6kVA N+1 - SYH2K6RMI";83.910;"SYH2K6RMI";"Servidor, Armazenamento e UPS";"APC"
"1010002";0;618.11;"731304016908";;"APC Symmetra RM 2-6kVA BatteryModule - SYBT2";23.860;"SYBT2";"Servidor, Armazenamento e UPS";"APC"
"1010389";0;13.58;"010343814400";;"EPSON S041154 Iron-on-transfer paper 120g/m2 A4 10 sheets 1-pack";0.280;"C13S041154";"Impressão, Digitalização e Consumíveis";"EPSON"
"1010391";0;30.55;"010343601833";;"EPSON Photo banner paper inkjet 105g/m2 420mm x 15m 1 roll 1-pack";0.830;"C13S041102";"Impressão, Digitalização e Consumíveis";"EPSON"
"1010429";0;32.78;"010343829992";;"EPSON Premium semi gloss photo paper inkjet 251g/m2 A3 20 sheets 1-pack";1.040;"C13S041334";"Impressão, Digitalização e Consumíveis";"EPSON"
"1010453";0;21.85;"010343601642";;"EPSON S015066 ribbon black 6.000.000 characters 1-pack";0.130;"C13S015066";"Impressão, Digitalização e Consumíveis";"EPSON"
"1011743";4;9.7;"010343601840";;"EPSON Photo Quality Ink Jet Paper self-adhesive DIN A4 167g/m2 10 Sheets";0.160;"C13S041106";"Impressão, Digitalização e Consumíveis";"EPSON"
"1012042";0;87.17;"010343831735";;"EPSON S041387 Double weight matte paper inkjet 180g/m2 44inch x 25m 1 roll 1-pack";6.060;"C13S041387";"Impressão, Digitalização e Consumíveis";"EPSON"
"1012083";0;38.04;"010343830059";;"EPSON Matte archival paper inkjet 192g/m2 A3+ 50 sheets 1-pack";1.945;"C13S041340";"Impressão, Digitalização e Consumíveis";"EPSON"
"1012088";0;447.63;"731304003342";;"Bateria APC Replacement Battery Cartridge #12 - RBC12";22.610;"RBC12";"Servidor, Armazenamento e UPS";"APC"
"1012996";0;52.83;"010343831704";;"EPSON S041385 Double weight matte paper inkjet 180g/m2 610mm x 25m 1 roll 1-pack";3.384;"C13S041385";"Impressão, Digitalização e Consumíveis";"EPSON"
"1013027";0;27.81;"010343830172";;"EPSON S041352 Matte paper watercolour inkjet 190g/m2 A3+ 20 sheets 1-pack";1.020;"C13S041352";"Impressão, Digitalização e Consumíveis";"EPSON"
"1013057";3;14.44;"010343830073";;"EPSON Archival Matte Photo S041342 A4 50 coli 192g/mp";0.750;"C13S041342";"Impressão, Digitalização e Consumíveis";"EPSON"
"1013130";0;14.44;"010343829978";;"EPSON Premium semi gloss photo paper inkjet 251g/m2 A4 20 sheets 1-pack";0.430;"C13S041332";"Impressão, Digitalização e Consumíveis";"EPSON"
"1013326";23;11.18;"010343818439";;"EPSON Heavy Weight S041256 hartie mata A4 50coli 167g/mp";0.580;"C13S041256";"Impressão, Digitalização e Consumíveis";"EPSON"
"1013328";0;15.66;"8885007027326";;"EPSON Fotopaper premium glossy A4 20Bsheet";0.420;"C13S041287";"Impressão, Digitalização e Consumíveis";"EPSON"
"1013336";23;11.18;"010343812017";;"EPSON S041061matte photo paper inkjet 102g/m2 A4 100 sheets 1-pack";0.770;"C13S041061";"Impressão, Digitalização e Consumíveis";"EPSON"
"1013659";0;456.25;"731304003335";;"Bateria APC Replacement Battery Cartridge #11 - RBC11";26.550;"RBC11";"Servidor, Armazenamento e UPS";"APC"
"1014729";0;109.87;"731304016342";;"UPS APC Back-UPS CS 350 USB/ Serial - BK350EI";6.790;"BK350EI";"Servidor, Armazenamento e UPS";"APC"
"1017553";0;296.08;"725184659522";;"HP 43X original LaserJet original Toner cartridge C8543X black high capacity 30.000 pages 1-pack";5.400;"C8543X";"Impressão, Digitalização e Consumíveis";"HP INC."
"1018227";0;360.68;"731304015789";;"Bateria APC Replacement Battery Cartridge #23 - RBC23";12.050;"RBC23";"Servidor, Armazenamento e UPS";"APC"
"1018228";0;451.32;"731304015772";;"Bateria APC Replacement Battery Cartridge #24 - RBC24";12.540;"RBC24";"Servidor, Armazenamento e UPS";"APC"
"1019370";0;29.98;"010343830097";;"EPSON Matte archival paper inkjet 192g/m2 A3 50 sheets 1-pack";1.550;"C13S041344";"Impressão, Digitalização e Consumíveis";"EPSON"
"1019676";0;4.85;"010343600447";;"EPSON S015022 ribbon black nylon 2.000.000 characters 1-pack";0.150;"C13S015022";"Impressão, Digitalização e Consumíveis";"EPSON"
"1019727";0;71.63;"010343816749";;"EPSON Presentation matte paper inkjet 172g/m2 44inch x 25m 1 roll 1-pack";5.960;"C13S041220";"Impressão, Digitalização e Consumíveis";"EPSON"
"1019883";0;184.03;"010343831810";;"EPSON S041395 Premium semigloss photo paper inkjet 162g/m2 1118mm x 30.5m 1 roll 1-pack";6.300;"C13S041395";"Impressão, Digitalização e Consumíveis";"EPSON"
"1023931";0;145.46;"731304014003";;"Bateria APC Replacement Battery Cartridge #18 - RBC18";3.285;"RBC18";"Servidor, Armazenamento e UPS";"APC"
"1023941";0;234.32;"731304003304";;"Bateria APC Replacement Battery Cartridge #8 - RBC8";10.800;"RBC8";"Servidor, Armazenamento e UPS";"APC"
"1023942";0;121.38;"731304003311";;"Bateria APC Replacement Battery Cartridge #2 - RBC9";4.855;"RBC9";"Servidor, Armazenamento e UPS";"APC"
"1025609";0;218.35;"025184252564";;"HP 81 original dye Ink cartridge C4930A black standard capacity 680ml 1-pack";0.975;"C4930A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1025633";0;218.35;"025184252571";;"HP 81 original dye Ink cartridge C4931A cyan standard capacity 680ml 1-pack";1.005;"C4931A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1026591";0;85.43;"725184518461";;"HP 15X original LaserJet Toner cartridge C7115X black high capacity 3.500 pages 1-pack";1.020;"C7115X";"Impressão, Digitalização e Consumíveis";"HP INC."
"1039165";0;223.53;"731304015796";;"Bateria APC Replacement Battery Cartridge #22 - RBC22";7.160;"RBC22";"Servidor, Armazenamento e UPS";"APC"
"1041984";0;32.85;"8715946115733";;"EPSON PS-180 Powersupply";0.480;"C32C825341";"Impressão, Digitalização e Consumíveis";"EPSON"
"1056680";0;28.84;"010343818484";;"EPSON S041261 Matte heavyweight paper inkjet 167g/m2 A3 50 sheets 1-pack";1.270;"C13S041261";"Impressão, Digitalização e Consumíveis";"EPSON"
"1056682";0;21.15;"010343829930";;"EPSON Premium semi gloss photo paper inkjet 250g/m2 A3+ 20 sheets 1-pack";1.300;"C13S041328";"Impressão, Digitalização e Consumíveis";"EPSON"
"1061087";0;15.36;"010343839014";;"EPSON Double-sided S041569 hartie mata A4-50 coli-178g/mp";0.690;"C13S041569";"Impressão, Digitalização e Consumíveis";"EPSON"
"1064425";0;1364.08;"731304003366";;"Bateria APC Replacement Battery Cartridge #14 - RBC14";112.730;"RBC14";"Servidor, Armazenamento e UPS";"APC"
"1068919";0;225.82;"088698394762";;"HP 641A Colour LaserJet original toner cartridge cyan standard capacity 8.000 pages 1-pack";1.760;"C9721A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1068920";0;225.82;"088698394779";;"HP 641A original Colour LaserJet Toner cartridge C9722A yellow standard capacity 8.000 pages 1-pack";1.790;"C9722A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1070543";0;28.64;"010343840706";;"EPSON Premium glossy photo paper inkjet 225g/m2 A4 50 sheets 1-pack";0.950;"C13S041624";"Impressão, Digitalização e Consumíveis";"EPSON"
"1070696";10;32.45;"725184712135";;"HP no 56 original black Ink cartridge C6656AE ABE 19ml";0.070;"C6656AE#ABE";"Impressão, Digitalização e Consumíveis";"HP INC."
"1070875";0;477.64;"731304187615";;"APC Smart-UPS XL 24V Battery Pack - SUA24XLBP";33.180;"SUA24XLBP";"Servidor, Armazenamento e UPS";"APC"
"1074028";0;120.15;"010343842182";;"EPSON Premium glossy photo paper inkjet 260g/m2 610mm x 30.5m 1 roll 1-pack";6.240;"C13S041638";"Impressão, Digitalização e Consumíveis";"EPSON"
"1074075";0;120.15;"010343842212";;"EPSON S041641 Premium Semigloss Photo Paper Inkjet 250g/m2 610mm x 30.5m 1 roll 1-pack";6.266;"C13S041641";"Impressão, Digitalização e Consumíveis";"EPSON"
"1074378";0;12.04;"4960999174839";;"CANON MP-101matte photo paper 170g/m2 A4 50 sheets 1-pack";0.656;"7981A005";"Impressão, Digitalização e Consumíveis";"CANON"
"1077118";0;291.76;"088698445402";;"HP 645A original Colour LaserJet Toner cartridge C9730A black standard capacity 13.000 pages 1-pack";3.080;"C9730A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1077120";0;409.13;"088698445419";;"HP 645A original Colour LaserJet Toner cartridge C9731A cyan standard capacity 12.000 pages 1-pack";3.080;"C9731A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1077121";0;409.13;"088698445426";;"HP 645A original Colour LaserJet Toner cartridge C9732A yellow standard capacity 12.000 pages 1-pack";3.090;"C9732A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1077122";0;409.13;"088698445433";;"HP 645A original Colour LaserJet Toner cartridge C9733A magenta standard capacity 12.000 pages 1-pack";3.090;"C9733A";"Impressão, Digitalização e Consumíveis";"HP INC."
"1088766";0;54.67;"725184712258";;"HP no 57 original tri-color Ink cartridge C6657AE ABE 17ml";0.040;"C6657AE#ABE";"Impressão, Digitalização e Consumíveis";"HP INC."
